Cargo,Experiência,Salário
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,,
Analytics Engineer,Sênior,de R$ 20.001/mês a R$ 25.000/mês
,Graduação/Bacharelado,Outra opção
Indústria,Acima de 3.000,FALSE
,,de R$ 4.001/mês a R$ 6.000/mês
,Cientista de Dados/Data Scientist,Pleno
Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,Pós-graduação,Outras Engenharias
,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno
Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Outra Opção,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista de BI/BI Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Analista de BI/BI Analyst,Pleno,de R$ 2.001/mês a R$ 3.000/mês
,,de R$ 4.001/mês a R$ 6.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Analista de BI/BI Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
,,
Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês
,,
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 30.001/mês a R$ 40.000/mês
Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Ciências Sociais,Empregado (CLT),Seguros ou Previdência
,,de R$ 16.001/mês a R$ 20.000/mês
Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês
FALSE,,Analytics Engineer
,,
Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês
,,
,Analista de Dados/Data Analyst,Pleno
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Supervisor/Coordenador,,
,,de R$ 16.001/mês a R$ 20.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 12.001/mês a R$ 16.000/mês
,,de R$ 8.001/mês a R$ 12.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
,,
Analytics Engineer,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 3.001/mês a R$ 4.000/mês
